Date,Dispatched,Encounter_Type,Area_Stopped_OPD,Intelligence_Led_Factor,Reason_for_Stop,Traffic_type_Detail,Location_Vehicle_Occupant,Subject_Sex,Subject_Race,Result_of_Stop
3/12/2021,Yes,Vehicle,Area 4,No,Reasonable Suspicion,,Driver,M,Afr American,Arrest
3/12/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,M,Afr American,Citation
3/31/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Hispanic,Arrest
1/8/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,M,Hispanic,Warning
1/9/2021,No,Pedestrian,Area 4,Yes,Probable Cause,,Other,M,Hispanic,Arrest
3/18/2021,Yes,Pedestrian,Area 4,No,Community Caretaking,,Other,M,Afr American,Other
3/18/2021,Yes,Pedestrian,Area 4,No,Community Caretaking,,Other,F,White,No Action
3/18/2021,Yes,Pedestrian,Area 4,No,Community Caretaking,,Other,M,Afr American,No Action
1/10/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Afr American,Psychiatric Hold
1/20/2021,Yes,Other,Area 4,No,Probable Cause,,,M,Hispanic,Arrest
1/20/2021,Yes,Other,Area 4,No,Probable Cause,,,U,Hispanic,No Action
1/26/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,F,Afr American,Citation
3/1/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Hispanic,No Action
3/5/2021,Yes,Pedestrian,Area 5,Yes,Community Caretaking,,,M,Hispanic,Other
3/24/2021,Yes,Pedestrian,Area 4,No,Probable Cause,,,M,Afr American,Arrest
1/19/2021,Yes,Vehicle,Area 5,No,Reasonable Suspicion,,Driver,M,Hispanic,Arrest
2/16/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,F,Afr American,Psychiatric Hold
1/7/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,M,Afr American,Citation
1/7/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Afr American,Arrest
2/17/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,F,Afr American,Arrest
3/10/2021,No,Pedestrian,Area 5,Yes,Probable Cause,,,M,Afr American,Arrest
3/23/2021,Yes,Pedestrian,Area 4,No,Probable Cause,,,M,Afr American,Arrest
3/28/2021,Yes,Pedestrian,Area 4,No,Probable Cause,,,F,Hispanic,Arrest
2/4/2021,No,Vehicle,Area 5,Yes,Probable Cause,,Driver,M,Hispanic,Arrest
2/6/2021,Yes,Pedestrian,Area 4,No,Probable Cause,,,M,Afr American,Arrest
2/6/2021,Yes,Pedestrian,Area 4,No,Probable Cause,,,F,Afr American,Arrest
1/10/2021,Yes,Pedestrian,Area 3,Yes,Reasonable Suspicion,,Other,F,Hispanic,No Action
1/10/2021,Yes,Pedestrian,Area 3,Yes,Reasonable Suspicion,,Other,M,Asian,No Action
1/2/2021,Yes,Pedestrian,Area 3,No,Community Caretaking,,,M,Asian,Psychiatric Hold
1/3/2021,Yes,Pedestrian,Area 1,Yes,Community Caretaking,,,M,Afr American,Psychiatric Hold
1/8/2021,No,Pedestrian,Area 1,No,Probable Cause,,,M,Afr American,Arrest
1/12/2021,No,Pedestrian,Area 1,Yes,Reasonable Suspicion,,Other,F,Afr American,No Action
1/12/2021,No,Pedestrian,Area 1,Yes,Probable Cause,,Other,M,Afr American,Arrest
1/22/2021,No,Pedestrian,Area 1,No,Community Caretaking,,,M,Afr American,No Action
1/24/2021,Yes,Pedestrian,Area 1,No,Community Caretaking,,,F,Afr American,Psychiatric Hold
1/31/2021,Yes,Vehicle,Area 1,Yes,Traffic Violation,Equipment violation,Driver,M,Afr American,Warning
2/2/2021,No,Vehicle,Area 1,No,Traffic Violation,Moving violation,Driver,M,Hispanic,Citation
2/3/2021,Yes,Pedestrian,Area 1,Yes,Community Caretaking,,,M,Afr American,Psychiatric Hold
2/9/2021,No,Pedestrian,Area 1,No,Probable Cause,,,M,Afr American,Arrest
2/11/2021,No,Vehicle,Area 1,No,Traffic Violation,Moving violation,Driver,M,Afr American,Citation
2/11/2021,No,Vehicle,Area 1,No,Traffic Violation,Moving violation,Driver,M,White,Citation
2/16/2021,No,Pedestrian,Area 1,No,Community Caretaking,,,F,Afr American,Psychiatric Hold
2/18/2021,No,Pedestrian,Area 1,Yes,Probable Cause,,,F,Afr American,Arrest
2/23/2021,Yes,Other,Area 1,No,Probable Cause,,Driver,F,White,Warning
2/23/2021,Yes,Other,Area 1,No,Probable Cause,,,M,Other,Warning
2/23/2021,Yes,Other,Area 1,No,Probable Cause,,,M,Hispanic,Warning
2/27/2021,Yes,Pedestrian,Area 1,No,Community Caretaking,,,M,Afr American,Psychiatric Hold
3/3/2021,Yes,Pedestrian,Area 1,Yes,Community Caretaking,,Other,M,Hispanic,Psychiatric Hold
3/7/2021,No,Pedestrian,Area 1,Yes,Community Caretaking,,,M,White,Psychiatric Hold
3/14/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,,M,White,Arrest
3/14/2021,No,Pedestrian,Area 1,No,Community Caretaking,,,M,Afr American,Psychiatric Hold
3/22/2021,Yes,Pedestrian,Area 1,Yes,Community Caretaking,,,M,White,No Action
2/9/2021,Yes,Pedestrian,Area 1,Yes,Community Caretaking,,,M,Afr American,No Action
2/23/2021,No,Pedestrian,Area 1,Yes,Community Caretaking,,,M,Afr American,No Action
1/11/2021,No,Pedestrian,Area 1,Yes,Reasonable Suspicion,,,M,Afr American,Arrest
2/3/2021,No,Pedestrian,Area 1,Yes,Reasonable Suspicion,,,M,Afr American,Arrest
2/12/2021,No,Pedestrian,Area 1,Yes,Reasonable Suspicion,,Other,M,Afr American,Arrest
3/11/2021,No,Pedestrian,Area 1,No,Probable Cause,,,M,Hispanic,Arrest
2/21/2021,No,Vehicle,Area 1,No,Traffic Violation,Moving violation,Driver,M,Hispanic,Arrest
3/7/2021,No,Pedestrian,Area 5,Yes,Probable Cause,,Passenger,M,Afr American,Arrest
3/12/2021,No,Vehicle,Area 4,No,Traffic Violation,Moving violation,Driver,M,White,Citation
1/11/2021,Yes,Pedestrian,Area 4,No,Probable Cause,,Other,M,Hispanic,Arrest
2/21/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,M,Hispanic,No Action
3/9/2021,Yes,Pedestrian,Area 4,No,Consensual Encounter & Search,,,M,Afr American,No Action
3/18/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,F,Hispanic,Psychiatric Hold
3/23/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,F,Asian,Psychiatric Hold
1/4/2021,No,Vehicle,Area 5,No,Traffic Violation,Equipment violation,Driver,F,Hispanic,Warning
2/21/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,F,Hispanic,No Action
2/21/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,F,Hispanic,No Action
2/26/2021,No,Vehicle,Area 5,No,Probable Cause,,Driver,M,Other,No Action
3/14/2021,Yes,Pedestrian,Area 4,No,Reasonable Suspicion,,,M,Afr American,No Action
3/22/2021,Yes,Pedestrian,Area 5,Yes,Community Caretaking,,,F,Other,No Action
2/8/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Afr American,No Action
1/6/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,M,Other,Arrest
1/1/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,F,Hispanic,Psychiatric Hold
1/7/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Afr American,Arrest
1/15/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Afr American,Arrest
1/25/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Hispanic,Arrest
1/25/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,F,Hispanic,Arrest
1/25/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,F,Hispanic,Arrest
1/25/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,F,Hispanic,Arrest
1/27/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,F,White,Psychiatric Hold
2/1/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,M,Afr American,Warning
2/2/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,F,Hispanic,Arrest
2/6/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Afr American,Other
3/21/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Afr American,Arrest
3/8/2021,Yes,Pedestrian,Area 5,Yes,Community Caretaking,,,F,White,Psychiatric Hold
3/15/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,F,Afr American,Psychiatric Hold
3/27/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,F,Hispanic,Arrest
2/8/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,Passenger,M,Afr American,No Action
1/29/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,F,Hispanic,Arrest
2/9/2021,Yes,Pedestrian,Area 5,No,Consensual Encounter & Search,,,F,Afr American,No Action
1/31/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,F,Hispanic,Arrest
2/19/2021,No,Vehicle,Area 5,No,Probable Cause,,Driver,M,Afr American,Warning
1/7/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,F,Hispanic,Arrest
1/19/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Hispanic,No Action
2/10/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,F,Other,Arrest
3/18/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,F,Afr American,Arrest
3/21/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,F,Afr American,Psychiatric Hold
2/19/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,F,Afr American,Arrest
3/7/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,M,Afr American,Arrest
3/7/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Afr American,Arrest
3/15/2021,No,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Other,Arrest
3/21/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,Other,F,Hispanic,Arrest
3/21/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,Other,F,Hispanic,Arrest
1/23/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Afr American,Arrest
2/1/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,White,Arrest
2/1/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,F,White,Arrest
2/13/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,F,Afr American,Psychiatric Hold
3/15/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Afr American,No Action
2/27/2021,Yes,Pedestrian,Area 5,Yes,Reasonable Suspicion,,,M,Afr American,Arrest
3/15/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Afr American,Arrest
3/15/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,White,Arrest
3/23/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,M,Afr American,Citation
1/2/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Afr American,Arrest
1/29/2021,No,Vehicle,Area 5,Yes,Reasonable Suspicion,,Driver,M,Afr American,No Action
3/15/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,F,Hispanic,Psychiatric Hold
2/27/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Afr American,No Action
2/12/2021,No,Vehicle,Area 5,No,Probable Cause,,Driver,M,Hispanic,Arrest
1/7/2021,Yes,Vehicle,Area 5,No,Probable Cause,,Driver,M,Afr American,Arrest
1/20/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Hispanic,Psychiatric Hold
3/29/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Hispanic,Arrest
3/31/2021,Yes,Vehicle,Area 5,No,Reasonable Suspicion,,Driver,F,Afr American,No Action
3/31/2021,Yes,Vehicle,Area 5,No,Reasonable Suspicion,,Other,M,Afr American,No Action
2/22/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Hispanic,Psychiatric Hold
1/20/2021,No,Pedestrian,Area 5,Yes,Community Caretaking,,,F,Afr American,No Action
1/20/2021,No,Pedestrian,Area 5,Yes,Community Caretaking,,,F,Afr American,No Action
1/20/2021,No,Pedestrian,Area 5,Yes,Community Caretaking,,,M,Afr American,No Action
1/23/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,F,White,Arrest
2/28/2021,No,Vehicle,Area 5,No,Probable Cause,,Driver,M,Afr American,Arrest
1/21/2021,Yes,Vehicle,Area 5,No,Probable Cause,,Driver,M,Hispanic,No Action
2/1/2021,No,Vehicle,Area 4,Yes,Reasonable Suspicion,,Driver,M,Afr American,No Action
1/3/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Hispanic,Arrest
1/4/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Hispanic,Arrest
1/16/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Hispanic,Arrest
2/16/2021,Yes,Vehicle,Area 5,No,Reasonable Suspicion,,Driver,M,Hispanic,Warning
2/16/2021,Yes,Vehicle,Area 5,No,Reasonable Suspicion,,Passenger,M,Hispanic,Warning
3/9/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Hispanic,No Action
3/10/2021,Yes,Pedestrian,Area 5,Yes,Community Caretaking,,,M,Hispanic,No Action
2/12/2021,No,Pedestrian,Area 5,No,Probable Cause,,,M,Afr American,Arrest
2/16/2021,No,Vehicle,Area 5,No,Probable Cause,,Driver,M,Hispanic,No Action
2/16/2021,No,Vehicle,Area 5,No,Probable Cause,,Passenger,M,Hispanic,No Action
3/7/2021,Yes,Pedestrian,Area 5,Yes,Community Caretaking,,,M,Hispanic,No Action
3/13/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,M,Afr American,Citation
3/13/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Passenger,M,Afr American,No Action
2/8/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,Driver,M,Afr American,Arrest
1/31/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,M,Afr American,Arrest
1/17/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,F,Afr American,Arrest
1/17/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,F,Afr American,Arrest
1/16/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Hispanic,Psychiatric Hold
2/12/2021,No,Pedestrian,Area 5,Yes,Probable Cause,,,M,Hispanic,Arrest
1/20/2021,No,Vehicle,Area 3,Yes,Probable Cause,,Driver,M,Afr American,Arrest
3/14/2021,Yes,Pedestrian,Area 3,No,Probable Cause,,,M,Afr American,Arrest
3/17/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,M,White,No Action
1/11/2021,No,Vehicle,Area 3,Yes,Probable Cause,,Other,M,Asian,Arrest
2/17/2021,Yes,Pedestrian,Area 3,Yes,Probable Cause,,,M,Hispanic,Arrest
2/17/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,M,White,Psychiatric Hold
3/19/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,M,Hispanic,Warning
3/20/2021,Yes,Pedestrian,Area 3,Yes,Probable Cause,,,M,Asian,Arrest
3/20/2021,Yes,Pedestrian,Area 3,Yes,Probable Cause,,,M,Asian,Arrest
1/26/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,Other,M,Afr American,Arrest
2/7/2021,No,Vehicle,Area 1,Yes,Traffic Violation,Moving violation,Driver,F,Afr American,Warning
3/8/2021,No,Vehicle,Area 1,No,Probable Cause,,Driver,M,Afr American,Arrest
3/8/2021,No,Vehicle,Area 1,No,Probable Cause,,Passenger,M,Afr American,Warning
1/9/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,,M,Afr American,Psychiatric Hold
1/10/2021,No,Vehicle,Area 1,No,Traffic Violation,Moving violation,Driver,F,Afr American,Warning
1/17/2021,No,Vehicle,Area 1,No,Traffic Violation,"Non-moving violation, including registration",Driver,M,Afr American,Warning
1/31/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,,M,Afr American,Arrest
2/4/2021,No,Pedestrian,Area 1,Yes,Probable Cause,,Other,M,Afr American,Arrest
2/10/2021,Yes,Pedestrian,Area 1,Yes,Community Caretaking,,,M,Afr American,Psychiatric Hold
3/2/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,,M,Hispanic,Psychiatric Hold
3/13/2021,No,Vehicle,Area 1,Yes,Traffic Violation,Moving violation,Driver,M,Hispanic,Warning
3/17/2021,No,Pedestrian,Area 1,Yes,Reasonable Suspicion,,,M,Afr American,Arrest
3/29/2021,Yes,Other,Area 1,Yes,Community Caretaking,,,M,Other,Psychiatric Hold
3/30/2021,Yes,Other,Area 1,Yes,Probable Cause,,,F,Afr American,Arrest
1/8/2021,No,Vehicle,Area 1,Yes,Reasonable Suspicion,,Driver,F,Afr American,Arrest
1/31/2021,No,Vehicle,Area 5,Yes,Traffic Violation,Moving violation,Driver,M,Hispanic,Warning
3/31/2021,Yes,Pedestrian,Area 5,Yes,Reasonable Suspicion,,,M,Hispanic,Arrest
2/10/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Hispanic,Psychiatric Hold
3/18/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Afr American,Arrest
3/22/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,M,Afr American,Arrest
3/26/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Hispanic,No Action
3/30/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Afr American,No Action
1/11/2021,Yes,Pedestrian,Area 5,Yes,Reasonable Suspicion,,,M,Afr American,No Action
2/12/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,M,Afr American,Citation
1/30/2021,No,Vehicle,Area 5,Yes,Traffic Violation,Equipment violation,Driver,F,Afr American,Warning
1/30/2021,No,Vehicle,Area 5,Yes,Traffic Violation,Equipment violation,Passenger,M,Afr American,No Action
3/27/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Hispanic,Arrest
1/12/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Afr American,Arrest
3/27/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Hispanic,No Action
1/23/2021,Yes,Pedestrian,Area 5,Yes,Community Caretaking,,,M,Hispanic,Psychiatric Hold
3/28/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Hispanic,Arrest
3/28/2021,Yes,Pedestrian,Area 5,No,Consensual Encounter & Search,,,M,Hispanic,No Action
1/22/2021,Yes,Pedestrian,Area 5,Yes,Community Caretaking,,,M,Asian,Psychiatric Hold
3/24/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Hispanic,Arrest
3/24/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Hispanic,No Action
3/24/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Hispanic,No Action
1/19/2021,No,Vehicle,Area 5,Yes,Traffic Violation,Equipment violation,Driver,M,Afr American,Warning
1/19/2021,No,Vehicle,Area 5,Yes,Traffic Violation,Equipment violation,Passenger,M,Afr American,No Action
1/24/2021,Yes,Vehicle,Area 5,No,Reasonable Suspicion,,Driver,F,Afr American,No Action
2/28/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Hispanic,Arrest
2/28/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Hispanic,Arrest
1/29/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,F,Other,Arrest
2/4/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,M,Afr American,Arrest
3/30/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Hispanic,Psychiatric Hold
1/27/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,F,Afr American,Psychiatric Hold
1/9/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,M,Afr American,Arrest
2/7/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Afr American,Other
2/9/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Hispanic,No Action
3/29/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Hispanic,No Action
3/17/2021,Yes,Pedestrian,Area 5,Yes,Reasonable Suspicion,,Other,F,Afr American,Arrest
3/26/2021,Yes,Pedestrian,Area 5,Yes,Community Caretaking,,,F,Hispanic,No Action
1/4/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Afr American,Arrest
1/14/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,F,Afr American,No Action
2/3/2021,Yes,Pedestrian,Area 5,Yes,Reasonable Suspicion,,Driver,M,Asian,Arrest
2/10/2021,Yes,Pedestrian,Area 5,Yes,Reasonable Suspicion,,,M,Afr American,No Action
3/12/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,F,Hispanic,Citation
3/25/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,F,Hispanic,No Action
1/13/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,F,Afr American,Psychiatric Hold
1/10/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Afr American,Arrest
1/10/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,M,Hispanic,Arrest
1/10/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Passenger,M,Hispanic,No Action
1/10/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Passenger,M,Hispanic,No Action
1/16/2021,Yes,Pedestrian,Area 5,Yes,Reasonable Suspicion,,,M,White,Arrest
1/22/2021,Yes,Pedestrian,Area 5,Yes,Reasonable Suspicion,,,M,Afr American,No Action
1/22/2021,Yes,Pedestrian,Area 5,Yes,Reasonable Suspicion,,,M,Afr American,No Action
1/29/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,M,Hispanic,Citation
2/1/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,White,Psychiatric Hold
2/7/2021,No,Vehicle,Area 5,Yes,Traffic Violation,Equipment violation,Driver,M,Hispanic,Citation
2/9/2021,Yes,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,M,Afr American,Arrest
2/21/2021,Yes,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,M,Hispanic,Citation
2/28/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,F,Afr American,Arrest
3/6/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,F,Afr American,Arrest
3/6/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,M,Afr American,Arrest
3/9/2021,Yes,Pedestrian,Area 5,Yes,Community Caretaking,,,M,Afr American,No Action
3/12/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,M,Other,Citation
3/12/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,F,Afr American,Citation
3/23/2021,No,Vehicle,Area 5,No,Traffic Violation,"Non-moving violation, including registration",Driver,M,Afr American,Citation
3/23/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,M,Hispanic,Citation
3/25/2021,No,Vehicle,Area 5,No,Reasonable Suspicion,,Driver,F,Afr American,Arrest
1/15/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,F,Hispanic,Psychiatric Hold
1/23/2021,Yes,Vehicle,Area 5,No,Probable Cause,,Other,M,Afr American,No Action
1/31/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,F,Afr American,Psychiatric Hold
2/28/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Other,No Action
3/26/2021,No,Vehicle,Area 5,Yes,Probable Cause,,Driver,M,Hispanic,Arrest
3/20/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Afr American,Arrest
1/29/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,Other,M,Afr American,Arrest
3/20/2021,Yes,Pedestrian,Area 5,Yes,Community Caretaking,,,M,Afr American,Psychiatric Hold
3/20/2021,Yes,Pedestrian,Area 5,Yes,Community Caretaking,,,M,Afr American,Psychiatric Hold
1/18/2021,Yes,Vehicle,Area 3,Yes,Probable Cause,,Passenger,M,Afr American,Warning
2/25/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Asian,Citation
2/25/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Afr American,Citation
2/25/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Hispanic,Citation
1/2/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,,M,Afr American,Psychiatric Hold
1/10/2021,Yes,Pedestrian,Area 1,No,Community Caretaking,,,M,Hispanic,Psychiatric Hold
1/11/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,,F,Afr American,Arrest
1/17/2021,No,Vehicle,Area 1,Yes,Traffic Violation,Moving violation,Driver,M,Afr American,Warning
1/31/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,,M,Afr American,Arrest
2/15/2021,Yes,Pedestrian,Area 1,No,Reasonable Suspicion,,,M,Asian,Arrest
2/16/2021,Yes,Pedestrian,Area 1,No,Community Caretaking,,,F,Hispanic,Other
3/13/2021,Yes,Pedestrian,Area 3,Yes,Probable Cause,,,M,White,Arrest
3/16/2021,No,Vehicle,Area 1,Yes,Traffic Violation,"Non-moving violation, including registration",Driver,M,Afr American,Warning
3/19/2021,No,Vehicle,Area 1,Yes,Traffic Violation,Moving violation,Driver,M,Afr American,Citation
1/31/2021,Yes,Other,Area 1,Yes,Community Caretaking,,,F,Hispanic,Psychiatric Hold
2/14/2021,Yes,Pedestrian,Area 1,No,Probable Cause,,Other,M,Hispanic,Arrest
1/14/2021,No,Vehicle,Area 5,No,Traffic Violation,"Non-moving violation, including registration",Driver,M,Hispanic,Arrest
1/14/2021,No,Vehicle,Area 5,No,Traffic Violation,"Non-moving violation, including registration",Passenger,M,Hispanic,Warning
2/28/2021,Yes,Pedestrian,Area 5,Yes,Reasonable Suspicion,,Passenger,M,Hispanic,Arrest
2/28/2021,Yes,Pedestrian,Area 5,Yes,Reasonable Suspicion,,Other,M,Hispanic,Arrest
2/28/2021,Yes,Pedestrian,Area 5,Yes,Reasonable Suspicion,,Driver,M,Hispanic,No Action
3/16/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,F,White,Arrest
3/16/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,M,Hispanic,Arrest
3/27/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Afr American,Warning
2/27/2021,Yes,Pedestrian,Area 5,Yes,Community Caretaking,,,M,Afr American,Psychiatric Hold
2/22/2021,No,Vehicle,Outside,Yes,Probable Cause,,Driver,M,Afr American,Arrest
2/6/2021,Yes,Other,Area 5,No,Probable Cause,,Other,M,Hispanic,Arrest
2/6/2021,Yes,Other,Area 5,No,Community Caretaking,,Other,F,Hispanic,Psychiatric Hold
2/6/2021,Yes,Other,Area 5,No,Probable Cause,,Other,F,Hispanic,Arrest
2/6/2021,Yes,Other,Area 5,No,Probable Cause,,Other,F,Hispanic,Arrest
2/9/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,M,Hispanic,Arrest
2/12/2021,No,Pedestrian,Area 4,No,Probable Cause,,,M,Afr American,Warning
